x,y,z,vx,vy,vz
1431.984009,1219.795044,1255.560181,-11.639767,-0.261866,6.03548
1433.209961,1236.45105,1374.114502,-11.674472,2.524698,10.679662
1447.480591,1248.377563,1486.354248,-9.82056,4.319955,13.944111
1452.976562,1285.761963,69.819328,-7.871024,-4.058362,10.979338
1472.225952,1281.603149,122.804695,-4.92746,-3.923637,5.596732
4.695951,1294.271118,177.897995,0.003523,-3.75007,-0.032232
26.992409,1300.92627,261.087677,4.586607,-2.864559,-3.152836
43.593288,1287.427734,352.286011,7.791107,-4.262227,-4.066079
41.278969,1287.252686,434.54892,7.226674,-4.544991,-6.16077
22.404047,1296.40686,519.530884,4.266261,-2.996049,-7.53793
10.026514,1305.977539,608.657349,2.104559,-1.442244,-8.366858
4.997235,1307.592285,698.815552,0.948302,-0.915491,-9.259022
1498.430786,1302.898682,791.350769,-0.738586,-1.422819,-9.218942
1475.984863,1291.019287,904.146729,-4.285827,-3.312492,-5.676328
1460.808105,1280.780518,1028.334106,-6.927579,-4.835949,-0.80224
1455.491943,1281.634766,1149.1427,-7.898857,-4.916651,3.059265
1436.11145,1287.077271,1270.6427,-10.500719,-4.608886,8.296673
1424.261963,1289.554077,1384.214966,-12.225491,-3.936651,12.604822
1435.868774,1290.246826,1491.172974,-10.974249,-3.800539,14.577516
1465.282104,1334.660034,64.015633,-6.743785,-11.194331,10.974523
1482.102783,1331.738892,133.018829,-3.589146,-11.21408,6.35995
3.07854,1352.338623,200.608673,0.720217,-9.52124,2.056178
23.005362,1378.922485,273.367462,3.651101,-6.332544,-0.708214
26.270435,1386.418945,354.283997,4.393702,-4.368306,-3.093043
20.416611,1395.843872,444.346649,3.2722,-2.378622,-4.429926
12.580358,1408.169556,528.790894,1.906325,-0.482273,-5.975958
6.218483,1412.852905,612.041443,1.018107,0.391938,-7.703639
2.960927,1412.500977,697.178101,0.564211,0.511975,-9.226985
1.770111,1410.584473,785.255249,-0.026472,0.350704,-10.024038
1490.509277,1402.367676,890.769165,-1.886198,-0.807006,-7.851262
1481.215942,1385.099976,1017.21405,-3.726803,-3.363626,-2.5995
1475.187012,1374.62146,1144.179932,-4.81749,-4.777258,2.049143
1457.261108,1363.583008,1264.283081,-7.433819,-6.698575,7.063682
1446.109009,1354.464355,1377.018799,-9.280964,-8.494019,11.225183
1452.206421,1344.426392,1480.017822,-8.862934,-9.935308,13.083688
84.017281,1441.424561,62.787575,-2.500609,-10.221169,11.232145
86.549278,1435.274658,146.668808,-2.036125,-11.573054,9.473729
85.004738,1439.5,231.588135,-1.449107,-10.948972,6.787866
87.333916,1452.848755,299.214539,-0.773227,-9.044095,3.287442
95.230492,1463.024536,365.729584,0.263564,-7.106534,-0.628824
93.985252,1472.745117,455.377808,0.263459,-4.91385,-2.781699
93.764709,1491.00708,539.434631,0.110409,-1.989737,-4.642703
95.76503,2.317364,615.079529,0.310422,-0.180389,-6.944748
100.957222,4.649228,697.502075,0.905971,0.530688,-9.04908
102.530586,6.890868,780.503479,1.062845,1.027265,-10.702498
97.901405,10.017742,873.617981,0.546683,1.251826,-10.150523
93.775803,1500.377075,1000.208191,-0.189181,-0.077496,-5.104106
91.895958,1492.791748,1123.75293,-0.430586,-0.904254,-0.876539
85.768951,1486.008179,1238.727417,-1.088655,-1.86817,2.341313
79.09272,1470.029175,1362.532104,-2.490412,-4.676001,7.63201
80.576767,1453.739746,1473.4104,-2.808225,-7.747615,11.083029
84.177498,51.874218,58.112572,-1.905413,-7.090856,9.686778
80.42675,53.497715,146.840485,-2.572805,-7.32154,9.255336
73.206131,55.493385,237.98851,-3.566885,-6.948661,8.014105
64.887978,60.850441,312.405151,-4.461956,-5.836236,5.356121
62.817471,75.926643,378.093323,-5.107861,-3.585911,1.71403
67.938766,82.095901,466.28653,-4.374018,-2.081585,-0.684936
74.052345,94.031265,553.0177,-3.071185,-0.090221,-2.735212
83.279015,107.661011,622.732971,-1.607004,1.802477,-5.775017
97.340912,112.825089,699.658691,0.121957,2.787769,-8.306807
104.194008,115.638687,784.592407,1.138161,3.27976,-10.258947
105.55793,118.872078,872.304565,1.396814,3.54002,-10.489538
103.369102,114.479202,988.574951,1.021466,2.546512,-6.782879
93.193466,98.839813,1116.983643,-0.282315,0.265559,-1.416357
